rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
1,cristiano,92,3.3,475.8,8.7,1.39%,6.5,29.0,Spain,30.0,ESP,Madrid,Europe,47558630.0,47363807.0,46431342.0,46572772.0,40741651.0,38889889.0,37491666.0,33792617.0,505992.0,93.9909,1.0015,0.6
2,kyliejenner,91,6.9,366.2,8.3,1.62%,5.9,57.4,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
4,selenagomez,93,1.8,342.7,6.2,0.97%,3.3,11.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
5,therock,91,6.8,334.1,1.9,0.20%,665.3,12.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
6,kimkardashian,91,5.6,329.2,3.5,0.88%,2.9,19.9,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
7,arianagrande,92,5.0,327.7,3.7,1.20%,3.9,18.4,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
8,beyonce,92,2.0,272.8,3.6,0.76%,2.0,7.4,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
9,khloekardashian,89,4.1,268.3,2.4,0.35%,926.9,9.8,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
10,justinbieber,91,7.4,254.5,1.9,0.59%,1.5,13.9,Canada,39.0,CAN,Ottawa,North America,38454327.0,37888705.0,35732126.0,33963412.0,30683313.0,27657204.0,24511510.0,21434577.0,9984670.0,3.8513,1.0078,0.48
11,kendalljenner,90,0.66,254.0,5.5,2.04%,5.1,3.7,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
12,natgeo,91,10.0,237.0,302.2,0.07%,159.3,3.0,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
13,nike,90,0.95,234.1,329.0,0.08%,181.8,313.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
14,taylorswift,91,0.53,222.2,2.4,1.01%,2.3,1.3,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
15,jlo,89,3.2,220.4,1.7,0.62%,1.4,5.3,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
17,nickiminaj,90,6.4,201.6,2.1,0.53%,1.0,13.5,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
18,kourtneykardash,89,4.4,195.2,1.8,0.67%,1.3,7.7,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
20,neymarjr,90,5.3,177.1,2.7,1.09%,1.9,14.1,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
22,kevinhart4real,88,8.2,152.0,522.0,0.08%,115.2,4.3,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
23,zendaya,87,3.5,150.7,5.8,3.17%,4.8,20.6,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
